N,P,K,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Altitude,Fertilizer_Used,Recommended_Crop
122,55,74,4.54,58.9,0.77,0.67,25.31,35.15,1403.58,11.03,5.98,1947,176.38,Sugarcane
112,37,25,7.03,25.98,0.66,1.94,31.8,54.8,1800.84,4.23,16.17,69,180.05,Rice
34,52,39,4.95,27.61,1.36,2.03,15.78,30.88,1336.62,11.45,18.55,2049,308.1,Barley
126,35,82,7.14,39.97,1.09,0.3,38.23,47.6,480.85,4.71,4.29,930,230.54,Millet
91,64,51,8.2,33.97,0.7,2.07,10.04,72.42,2535.23,11.21,4.41,20,63.73,Wheat
40,57,70,8.38,20.66,0.27,2.01,10.05,42.17,2111.15,4.51,19.28,250,155.06,Wheat
122,38,83,5.44,43.02,1.14,0.2,28.77,89.92,2519.84,11.75,10.73,852,59.37,Rice
141,36,86,7.74,26.71,0.66,1.71,20.24,32.9,1555.05,4.07,2.86,1198,72.58,Rice
94,27,57,5.91,42.69,0.29,1.88,21.94,38.19,2416.78,11.72,2.44,1054,249.01,Rice
107,69,71,8.1,29.18,1,1.35,16.64,77.21,2433.61,4.5,19.32,2445,109.98,Wheat
136,83,93,7.65,45.01,0.62,2.71,22.23,88.56,1141.63,5,9.21,219,213.07,Sugarcane
119,78,102,4.8,43.39,0.64,1.05,34.84,87.24,211.4,11.7,18.9,1065,163.77,Millet
123,83,73,6.13,35.44,0.82,0.29,30.98,77.89,2607.4,10.33,11.96,1183,76.7,Rice
150,30,66,5.85,45.24,1.13,2.05,12.84,88.38,716.97,10.72,14.72,15,323.78,Potato
72,33,77,7.64,33.05,0.56,1.86,11.7,80.45,2632.4,7.45,6.3,1034,158.92,Wheat
21,12,55,6.14,15.81,0.31,2.97,25.19,33.48,1931.24,4.64,2.28,2157,326.09,Rice
107,71,37,7.24,19.11,0.75,0.77,31.9,80.74,1977.28,5.19,15.94,1344,176.27,Rice
57,11,110,6.91,22.3,0.27,1.25,29.93,59.03,892.21,11.39,4.2,2100,330.13,Barley
149,75,86,8.4,13.16,1.11,1.44,35.92,57.41,1327.3,7.08,14.61,358,214.57,Sugarcane
40,51,12,8.25,45.57,1.45,2.6,14,30.15,1073.86,10.05,2.44,1717,205.05,Wheat
77,43,46,6.21,28.37,1.06,1.3,28.17,67.22,732.98,9.52,11.93,794,167.25,Millet
41,51,57,7.39,14.68,0.56,2.34,32.98,70.3,2228.62,7.79,15.31,144,307.77,Rice
108,29,28,7.82,51,0.44,0.56,38.14,77.44,468.36,10.88,1.36,78,239.82,Millet
68,77,101,8.1,44.18,0.5,1.29,13.03,49.56,1633.51,9.24,8.38,910,64.55,Wheat
78,54,92,4.77,32.61,0.49,0.55,17.19,37.69,1700.82,9.92,12.18,1025,296.8,Barley
34,84,26,5.71,22.37,0.61,2.85,20.64,56.39,2875.08,10.7,16.17,525,179.62,Rice
70,51,91,5.78,17.59,0.33,0.62,26.22,51.74,2634.3,5.78,5.9,1660,262.65,Rice
127,56,91,6.24,32.92,1.36,1.32,22.26,75.19,1576.73,6.35,16.51,1061,181.48,Rice
74,14,96,5.18,54.26,1.35,0.34,35.83,43.77,2563.71,10.04,13.31,631,234.99,Rice
83,58,49,6.48,19.42,1,2.77,38.52,38.29,2413.62,10.63,7.59,1700,333.64,Rice
150,46,59,7.15,38.43,0.28,1.91,12.1,56.41,278.11,8.78,6.69,1725,211.77,Wheat
70,43,82,6.49,58.08,1.25,2.89,30.99,67.68,2781.98,11.95,14.34,1163,72.29,Rice
154,82,38,7.16,41.86,0.28,0.22,13.43,46.86,2126.13,11.02,14.76,714,277.32,Wheat
40,79,60,4.77,32,0.34,0.61,36.94,36.87,2081.47,10.4,13.1,2416,153.25,Rice
92,27,51,8,45.82,0.62,1.2,14.26,56.35,2197.75,5.96,9.44,1116,253.54,Wheat
37,87,38,8.26,51.23,0.76,1.9,39.75,87.71,829.33,6.66,1.42,642,96.13,Millet
151,28,75,6.97,39.53,0.66,1.06,22.83,88.04,281.68,6.89,11.91,1865,219.8,Maize
108,87,26,8.03,53.59,0.41,2.16,21.46,72.52,849.16,4.74,12.63,9,154.93,Wheat
79,49,118,5.03,35.73,0.35,0.58,27.59,76.63,2424.82,9.85,5.56,1417,145.51,Rice
33,26,40,7.69,51.5,1.32,1.84,21.83,42.21,1872.48,7.3,4.86,2262,151.19,Rice
28,69,101,4.98,57.6,0.67,1.25,17.04,52.48,1211.58,8.97,17.42,910,276.81,Barley
109,51,116,6.13,35.06,0.48,1.57,28.87,66.29,876.25,9.68,4.42,1548,273.03,Wheat
72,81,61,5.8,40.25,0.83,1.75,31.85,75.02,2439.53,4.07,4.99,14,145.56,Rice
149,74,48,6.84,40.47,0.25,0.27,38.36,40,1482.03,4.38,12.83,1999,105.17,Sugarcane
103,62,69,5.71,49.07,0.98,2.78,22.27,57.46,1912.88,6.68,7.06,1509,102.96,Rice
111,16,103,7.05,51.15,0.52,2.38,31.17,39.77,235.2,9.24,9.38,152,188.93,Millet
130,14,108,5.97,11.36,0.98,1.38,35.01,68,1403.81,7.83,11.07,374,235.99,Sugarcane
27,33,60,7.94,46.67,1,1.69,34.94,76.33,243.22,11.51,18.69,320,159.11,Millet
54,37,93,7.04,49.19,1.25,0.19,11.03,80,2404.8,6.06,5.95,2107,64.61,Wheat
100,71,25,5.36,45.02,0.5,1.54,20.67,73.94,897.9,4.83,1.85,61,187.69,Barley
69,26,107,5.84,45.68,0.8,1.34,10.4,39.55,667.94,4.91,3.2,2088,247.94,Cotton
123,29,23,7.89,12.07,1.45,1.19,26.77,79.7,2793.9,5.8,1.98,1180,222.67,Rice
151,12,99,6.05,32.1,1.15,2.46,35.95,50.06,250.42,5.89,15.33,1282,143.82,Millet
21,46,93,6.64,50.91,1.47,0.63,34.45,80.15,753.9,7.03,19.64,155,201.91,Millet
153,24,51,7.1,56.7,1.41,0.61,34.34,45.05,873.36,8.51,2.52,1366,88.06,Barley
73,60,60,5.89,21.47,0.99,1.61,20.56,58.54,2503.85,5.99,6.41,2097,166.7,Rice
125,57,33,5.68,38.96,0.54,2.09,11.39,64.59,2188.23,8.12,17.22,1951,105.07,Sugarcane
23,17,116,6.4,50.22,1.18,0.17,15.17,32.08,2908.74,7.82,18.05,1939,299.73,Wheat
73,22,91,5.36,47.62,1.11,1.68,30.12,84.22,2145.6,6.47,5.11,1688,168.37,Rice
63,57,52,5.64,40.94,0.97,0.97,14.02,60.69,861.69,7.47,18.46,9,193.53,Barley
33,12,82,4.75,10.93,1.11,2.29,13.76,41.52,667.14,7.07,11.98,207,122.65,Cotton
114,74,28,5.72,46.19,1,1.46,20.61,39.65,2315.14,11.6,19.91,962,263.42,Rice
67,82,93,5.78,48.66,0.88,2.52,12.84,71.19,2722.53,4.55,1.43,1690,250.17,Wheat
34,40,70,8.35,46.14,0.74,1.25,19.89,34.9,2752.68,10.14,15.93,414,108.21,Wheat
59,35,115,6.86,48.29,0.26,2.5,39.09,56.39,2359.07,6.48,2.05,1681,80.94,Rice
101,65,103,7.65,31.55,1.33,2.18,10.6,62.42,2424.23,5.48,14.95,1492,86.3,Wheat
130,43,72,4.68,59.69,1.33,2.5,34.92,43.99,2054.63,10.97,18.94,782,193.19,Rice
72,18,35,4.93,48.54,0.97,2.46,39.81,37.75,2260.32,7.76,7.21,318,342.62,Rice
43,71,104,7.76,38.93,0.55,1.51,23.09,59.44,524.94,8.08,7.44,1826,303.61,Barley
143,22,44,6.99,56.71,0.24,1.17,38.29,50.42,1121.78,7.33,5.55,1061,191.02,Sugarcane
60,78,76,5.26,55.41,0.2,2.32,17.83,38.41,1482.68,7.24,9.19,650,251.9,Pulses
34,50,65,6.12,50.73,0.29,1.15,39.47,42.62,2060.1,9.54,9.98,512,180.7,Rice
