Feature,Mean |SHAP|,Description
Feature_106,0.229172,Feature 107
Feature_89,0.155497,Feature 90
Feature_86,0.136014,Feature 87
Feature_103,0.128983,Feature 104
Feature_7,0.108847,Feature 8
Feature_39,0.104962,Feature 40
Feature_83,0.098258,Feature 84
Feature_107,0.073365,Feature 108
Feature_101,0.050091,Feature 102
Feature_100,0.040126,Feature 101
Feature_105,0.033271,Feature 106
Feature_104,0.032643,Feature 105
Feature_81,0.032486,Feature 82
Feature_102,0.03155,Feature 103
Feature_37,0.030996,Feature 38
Feature_154,0.028684,Feature 155
Feature_108,0.02859,Feature 109
Feature_0,0.027171,Feature 1
Feature_109,0.026775,Feature 110
Feature_4,0.026645,Feature 5
Feature_51,0.02603,Feature 52
Feature_150,0.02449,Feature 151
Feature_87,0.020707,Feature 88
Feature_2,0.02037,Feature 3
Feature_34,0.019586,Feature 35
Feature_30,0.017507,Feature 31
Feature_31,0.0174,Feature 32
Feature_5,0.01639,Feature 6
Feature_8,0.016343,Feature 9
Feature_84,0.015344,Feature 85
Feature_155,0.014092,Feature 156
Feature_158,0.013698,Feature 159
Feature_80,0.013047,Feature 81
Feature_38,0.012578,Feature 39
Feature_88,0.012466,Feature 89
Feature_152,0.011821,Feature 153
Feature_156,0.011574,Feature 157
Feature_85,0.011421,Feature 86
Feature_82,0.011412,Feature 83
Feature_1,0.010837,Feature 2
Feature_6,0.01076,Feature 7
Feature_55,0.010703,Feature 56
Feature_36,0.010478,Feature 37
Feature_166,0.009958,Feature 167
Feature_32,0.009675,Feature 33
Feature_56,0.009269,Feature 57
Feature_35,0.008665,Feature 36
Feature_52,0.008233,Feature 53
Feature_58,0.00748,Feature 59
Feature_151,0.006979,Feature 152
Feature_148,0.006634,Feature 149
Feature_169,0.006589,Feature 170
Feature_54,0.006002,Feature 55
Feature_138,0.005943,Feature 139
Feature_186,0.005604,Feature 187
Feature_50,0.005375,Feature 51
Feature_59,0.005296,Feature 60
Feature_157,0.005239,Feature 158
Feature_153,0.00522,Feature 154
Feature_121,0.005088,Feature 122
Feature_159,0.005072,Feature 160
Feature_40,0.004786,Feature 41
Feature_9,0.00476,Feature 10
Feature_136,0.004724,Feature 137
Feature_12,0.004504,Feature 13
Feature_168,0.004413,Feature 169
Feature_132,0.004393,Feature 133
Feature_48,0.004276,Feature 49
Feature_185,0.004263,Feature 186
Feature_115,0.004147,Feature 116
Feature_65,0.004046,Feature 66
Feature_141,0.004022,Feature 142
Feature_3,0.003966,Feature 4
Feature_175,0.003944,Feature 176
Feature_28,0.003943,Feature 29
Feature_124,0.003912,Feature 125
Feature_15,0.003874,Feature 16
Feature_145,0.003822,Feature 146
Feature_162,0.003797,Feature 163
Feature_189,0.003727,Feature 190
Feature_62,0.003696,Feature 63
Feature_53,0.003693,Feature 54
Feature_78,0.003676,Feature 79
Feature_21,0.00363,Feature 22
Feature_167,0.003574,Feature 168
Feature_33,0.003552,Feature 34
Feature_172,0.003536,Feature 173
Feature_188,0.003536,Feature 189
Feature_135,0.003516,Feature 136
Feature_160,0.003487,Feature 161
Feature_139,0.003473,Feature 140
Feature_165,0.003439,Feature 166
Feature_142,0.003436,Feature 143
Feature_161,0.003367,Feature 162
Feature_42,0.003362,Feature 43
Feature_134,0.003262,Feature 135
Feature_57,0.003217,Feature 58
Feature_11,0.003117,Feature 12
Feature_114,0.003091,Feature 115
Feature_144,0.003083,Feature 145
Feature_45,0.003071,Feature 46
Feature_68,0.002969,Feature 69
Feature_98,0.002928,Feature 99
Feature_75,0.002902,Feature 76
Feature_44,0.002896,Feature 45
Feature_19,0.002879,Feature 20
Feature_187,0.002807,Feature 188
Feature_163,0.002803,Feature 164
